tiempo,valor
1692116947.5429893,0.0
1692116948.4988203,0.0
1692116949.4999783,0.0
1692116950.4996064,0.0
1692116951.5262265,0.0
1692116952.4997523,0.0
1692116953.5014539,0.0
1692116954.49981,0.0
1692116955.4981527,0.0
1692116956.4988613,0.0
1692116957.4980955,0.0
1692116958.4997349,11.0
1692116959.4992304,7.0
1692116960.499531,12.0
1692116961.5009913,11.0
1692116962.5000234,12.0
1692116963.499014,10.0
1692116964.4993505,3.0
1692116965.5012336,0.0
1692116966.4998817,2.0
1692116967.4988754,1.0
1692116968.5068784,0.0
1692116969.4993336,0.0
1692116970.4988663,0.0
1692116971.4994068,0.0
1692116972.5023558,0.0
1692116973.504211,0.0
1692116974.501202,0.0
1692116975.4986055,0.0
1692116976.5020158,0.0
1692116977.4991577,0.0
1692116978.4988623,0.0
1692116979.5000088,0.0
1692116980.5034394,0.0
1692116981.5042255,0.0
1692116982.4995494,0.0
1692116983.498728,0.0
1692116984.5033667,0.0
1692116985.5001464,0.0
1692116986.5001886,0.0
1692116987.499811,0.0
1692116988.499644,0.0
1692116989.4982185,0.0
1692116990.5023851,0.0
1692116991.4981287,0.0
1692116992.4992232,0.0
1692116993.5050862,0.0
1692116994.4981005,0.0
1692116995.4993017,0.0
1692116996.4998105,0.0
1692116997.5029197,0.0
1692116998.498366,0.0
1692116999.5003452,0.0
1692117000.5035977,0.0
1692117001.4985156,0.0
1692117002.5008128,0.0
1692117003.5022345,0.0
1692117004.4987643,0.0
1692117005.5046365,0.0
1692117006.4986448,0.0
1692117007.4984643,0.0
1692117008.5003712,12.0
1692117009.4993458,10.0
1692117010.5006292,0.0
1692117011.4990542,0.0
1692117012.500341,0.0
1692117013.5048096,0.0
1692117014.49889,0.0
1692117015.4989195,0.0
1692117016.4985735,0.0
1692117017.4987473,0.0
1692117018.4980433,0.0
1692117019.4989376,0.0
1692117020.498303,9.0
1692117021.4991415,11.0
1692117022.5015795,10.0
1692117023.4981053,7.0
1692117024.49846,9.0
1692117025.5038316,7.0
1692117026.4992034,4.0
1692117027.5034966,7.0
1692117028.4983258,6.0
1692117029.5043328,0.0
1692117030.4993865,0.0
1692117031.500999,0.0
1692117032.499568,0.0
1692117033.5005128,0.0
1692117034.4993744,0.0
1692117035.4993546,0.0
1692117036.500468,0.0
1692117037.499934,0.0
1692117038.499382,0.0
1692117039.5014896,0.0
1692117040.4979262,0.0
1692117041.4991746,0.0
1692117042.4979358,0.0
1692117043.4995422,0.0
1692117044.4983292,0.0
1692117045.504843,0.0
1692117046.498295,0.0
1692117047.4996133,0.0
1692117048.4978433,0.0
1692117049.499777,0.0
1692117050.503001,0.0
1692117051.4985902,0.0
1692117052.5034788,0.0
1692117053.4984267,0.0
1692117054.4997408,0.0
1692117055.4986086,0.0
1692117056.5028179,0.0
1692117057.502018,0.0
1692117058.4987319,0.0
1692117059.4997232,0.0
1692117060.504138,0.0
1692117061.4986005,0.0
1692117062.501961,0.0
1692117063.4993398,0.0
1692117064.5049014,0.0
1692117065.5050573,0.0
1692117066.4988196,0.0
1692117067.4988434,0.0
